n,pattern,seed,L,rho,tau,c_star_N,c_star_source,C_N_online,r,n_feasible,k,core_nonempty,core_epsilon,r_star_star,theorem11_applicable,theorem11_fires,runtime_core_lp_sec,note
20,A,7,4.4721,inf,0.0,20.0341,held_karp,24.3596,1.2159,41,20,False,3.53757,1.1725,True,True,0.02,
20,A,42,4.4721,inf,0.0,18.985,held_karp,23.9539,1.2617,41,20,False,4.134491,1.1039,True,True,0.04,
20,A,99,4.4721,inf,0.0,18.3047,held_karp,19.3332,1.0562,41,20,False,0.370222,1.1129,True,False,0.04,
20,A,123,4.4721,inf,0.0,16.9248,held_karp,18.2252,1.0768,41,20,False,0.73199,1.1117,True,False,0.04,
20,A,256,4.4721,inf,0.0,20.2147,held_karp,24.7938,1.2265,41,20,False,3.80398,1.0938,True,True,0.04,
20,B_medium,7,4.4721,2.0,0.3562,20.0341,held_karp,22.5515,1.1257,21,16,True,-5.818,,False,False,0.04,
20,B_medium,42,4.4721,2.0,0.3562,18.985,held_karp,28.2799,1.4896,21,17,True,-4.992345,,False,False,0.02,
20,B_medium,99,4.4721,2.0,0.3562,18.3047,held_karp,26.8393,1.4663,21,15,True,-5.334582,,False,False,0.04,
20,B_medium,123,4.4721,2.0,0.3562,16.9248,held_karp,21.9896,1.2993,21,14,True,-5.475158,,False,False,0.04,
20,B_medium,256,4.4721,2.0,0.3562,20.2147,held_karp,25.6203,1.2674,21,15,True,-5.518021,,False,False,0.02,
20,C,7,4.4721,2.0,0.3562,20.0341,held_karp,27.7912,1.3872,41,20,False,6.79762,1.1725,True,True,0.04,
20,C,42,4.4721,2.0,0.3562,18.985,held_karp,25.5542,1.346,41,20,False,5.654761,1.1039,True,True,0.04,
20,C,99,4.4721,2.0,0.3562,18.3047,held_karp,24.9042,1.3605,41,20,False,5.662737,1.1129,True,True,0.02,
20,C,123,4.4721,2.0,0.3562,16.9248,held_karp,22.8398,1.3495,41,20,False,5.11592,1.1117,True,True,0.04,
20,C,256,4.4721,2.0,0.3562,20.2147,held_karp,24.7938,1.2265,41,20,False,3.80398,1.0938,True,True,0.02,
30,A,7,5.4772,inf,0.0,27.1122,lkh,31.534,1.1631,61,30,,,1.1472,True,True,0.0,core_lp_intractable (|F|=2^30-1)
