n,pattern,seed,r,c_star_N,C_N_online,B_n1_in_F,B_n2_in_F,B_n3_in_F,r_diamond_k2,r_diamond_k3,margin_k2,margin_k3,fires_k2,fires_k3,lp_reason_k2,lp_reason_k3,elapsed_s
10,A,123,1.052896,9.949941,10.476256,10,45,120,1.048969,1.048969,0.003928,0.003928,True,True,,,1.28
10,B_heavy,256,1.126124,9.707825,10.932219,10,45,120,1.047974,1.047974,0.07815,0.07815,True,True,,,0.14
10,C,123,1.123811,9.949941,11.181853,10,45,120,1.048969,1.048969,0.074842,0.074842,True,True,,,0.12
15,A,42,1.047533,14.088287,14.757949,15,105,455,1.049458,1.047878,-0.001924,-0.000345,False,False,,,24.97
15,A,99,1.050691,15.343733,16.121523,15,105,455,1.040182,1.040182,0.010509,0.010509,True,True,,,25.54
15,A,123,1.074861,13.154948,14.139736,15,105,455,1.041439,1.040072,0.033422,0.034789,True,True,,,25.5
15,B_heavy,7,1.184894,15.429955,18.282863,15,105,455,1.04208,1.04208,0.142814,0.142814,True,True,,,25.47
15,C,42,1.068029,14.088287,15.046705,15,105,455,1.049458,1.047878,0.018572,0.020151,True,True,,,25.47
15,C,99,1.147576,15.343733,17.608099,15,105,455,1.040182,1.040182,0.107394,0.107394,True,True,,,25.28
15,C,123,1.140553,13.154948,15.003912,15,105,455,1.041439,1.040072,0.099114,0.100481,True,True,,,25.04
