C_N_online,C_N_static,r,sum_individual,r_star,r_vs_rstar,temporal_epsilon,static_epsilon,temporal_core,static_core,theorem2_predicts_no_core,theorem4_predicts_safe,n_feasible_coalitions,n_static_coalitions,coalition_reduction_ratio,n,pattern,seed
27.9776,26.453,1.0576,79.7005,3.0129,r<r*,-1.436819,-2.199115,True,True,False,True,31,31,1.0,5,A,42
28.4109,27.3123,1.0402,80.01,2.9295,r<r*,-2.107621,-2.986527,True,True,False,True,31,31,1.0,5,A,123
36.905,30.1723,1.2231,76.3938,2.5319,r<r*,1.76872,-3.599352,False,True,False,True,31,31,1.0,5,A,7
27.1603,25.713,1.0563,78.7024,3.0608,r<r*,-2.272692,-2.996322,True,True,False,True,31,31,1.0,5,A,99
27.5698,23.1085,1.1931,49.6885,2.1502,r<r*,0.844427,-2.120641,False,True,False,True,31,31,1.0,5,A,256
30.3261,26.453,1.1464,79.7005,3.0129,r<r*,-4.412532,-2.199115,True,True,False,True,17,31,0.5484,5,B1,42
33.9406,27.3123,1.2427,80.01,2.9295,r<r*,-3.522789,-2.986527,True,True,False,True,17,31,0.5484,5,B1,123
31.4785,30.1723,1.0433,76.3938,2.5319,r<r*,-5.057164,-3.599352,True,True,False,True,17,31,0.5484,5,B1,7
26.8395,25.713,1.0438,78.7024,3.0608,r<r*,-6.025268,-2.996322,True,True,False,True,17,31,0.5484,5,B1,99
27.4286,23.1085,1.1869,49.6885,2.1502,r<r*,-2.760649,-2.120641,True,True,False,True,17,31,0.5484,5,B1,256
30.3261,26.453,1.1464,81.4942,3.0807,r<r*,-6.206266,-3.095982,True,True,False,True,17,31,0.5484,5,B2,42
33.9406,27.3123,1.2427,81.8048,2.9952,r<r*,-6.763545,-2.986527,True,True,False,True,13,31,0.4194,5,B2,123
37.0149,31.1095,1.1898,79.6571,2.5605,r<r*,-6.076238,-3.055102,True,True,False,True,13,31,0.4194,5,B2,7
26.8395,25.713,1.0438,81.6897,3.177,r<r*,-7.740535,-4.357587,True,True,False,True,17,31,0.5484,5,B2,99
27.4286,23.1085,1.1869,51.8647,2.2444,r<r*,-3.726685,-2.120641,True,True,False,True,9,31,0.2903,5,B2,256
37.4397,31.8322,1.1762,104.5248,3.2836,r<r*,-12.206266,-4.505028,True,True,False,True,9,31,0.2903,5,B5,42
33.7089,28.4395,1.1853,98.4962,3.4634,r<r*,-11.923247,-4.224019,True,True,False,True,6,31,0.1935,5,B5,123
34.42,33.8622,1.0165,100.6571,2.9726,r<r*,-13.247425,-3.088694,True,True,False,True,6,31,0.1935,5,B5,7
42.5956,29.9541,1.422,100.9198,3.3691,r<r*,-11.664839,-4.718098,True,True,False,True,6,31,0.1935,5,B5,99
34.2778,29.1981,1.174,80.7233,2.7647,r<r*,-7.200076,-3.600038,True,True,False,True,6,31,0.1935,5,B5,256
27.2289,26.453,1.0293,79.7005,3.0129,r<r*,-4.412532,-2.199115,True,True,False,True,17,31,0.5484,5,C,42
34.0349,27.3123,1.2461,80.01,2.9295,r<r*,-3.475628,-2.986527,True,True,False,True,17,31,0.5484,5,C,123
40.7564,30.1723,1.3508,76.3938,2.5319,r<r*,-3.117084,-3.599352,True,True,False,True,17,31,0.5484,5,C,7
27.2766,25.713,1.0608,78.7024,3.0608,r<r*,-2.214513,-2.996322,True,True,False,True,17,31,0.5484,5,C,99
27.2465,23.1085,1.1791,49.6885,2.1502,r<r*,-1.968182,-2.120641,True,True,False,True,17,31,0.5484,5,C,256
32.7025,26.453,1.2363,86.206,3.2588,r<r*,-8.206266,-4.095982,True,True,False,True,13,31,0.4194,5,D,42
34.7614,27.3123,1.2727,82.8428,3.0332,r<r*,-7.897954,-2.986527,True,True,False,True,8,31,0.2581,5,D,123
36.3914,30.1723,1.2061,83.2605,2.7595,r<r*,-4.919313,-3.61746,True,True,False,True,10,31,0.3226,5,D,7
28.2476,25.713,1.0986,87.6897,3.4103,r<r*,-10.018257,-4.357587,True,True,False,True,11,31,0.3548,5,D,99
34.4751,26.2283,1.3144,59.7058,2.2764,r<r*,-3.799635,-2.268411,True,True,False,True,7,31,0.2258,5,D,256
28.5821,26.453,1.0805,85.9124,3.2477,r<r*,-7.452376,-4.374702,True,True,False,True,17,31,0.5484,5,E,42
28.9788,27.369,1.0588,83.4729,3.0499,r<r*,-7.614507,-2.988251,True,True,False,True,17,31,0.5484,5,E,123
36.4525,30.1723,1.2081,78.4877,2.6013,r<r*,-5.059468,-3.599352,True,True,False,True,17,31,0.5484,5,E,7
30.3123,25.713,1.1789,78.8418,3.0662,r<r*,-6.010208,-3.066042,True,True,False,True,13,31,0.4194,5,E,99
28.3672,23.6808,1.1979,60.0457,2.5356,r<r*,-4.233142,-2.120641,True,True,False,True,8,31,0.2581,5,E,256
32.0911,31.3403,1.024,116.285,3.7104,r<r*,-1.629364,-2.004788,True,True,False,True,127,127,1.0,7,A,42
29.7434,29.7434,1.0,104.978,3.5295,r<r*,-2.18487,-2.18487,True,True,False,True,127,127,1.0,7,A,123
36.4525,31.0085,1.1756,105.1721,3.3917,r<r*,1.648868,-3.01744,False,True,False,True,127,127,1.0,7,A,7
